DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-17,18:00,7135.79,6926
2023-01-17,19:00,7084.08,6852
2023-01-17,20:00,6987.48,6743
2023-01-17,21:00,6818.97,6577
2023-01-17,22:00,6730.24,6478
2023-01-17,23:00,6578.79,6397
2023-01-18,0:00,6268.79,6254
2023-01-18,1:00,5838.57,5864
2023-01-18,2:00,5477.9,5451
2023-01-18,3:00,5251.9,5161
2023-01-18,4:00,5176.57,5080
2023-01-18,5:00,5371.07,5272
2023-01-18,6:00,5931.22,5846
2023-01-18,7:00,6412.11,6347
2023-01-18,8:00,6539.94,6520
2023-01-18,9:00,6576.95,6522
2023-01-18,10:00,6514.74,6497
2023-01-18,11:00,6411.06,6449
2023-01-18,12:00,6270.36,6321
2023-01-18,13:00,6188.99,6251
2023-01-18,14:00,6091.61,6054
2023-01-18,15:00,6132.55,6086
2023-01-18,16:00,6633.91,6452
2023-01-18,17:00,6955.72,6863
2023-01-18,18:00,6974.1,6926
2023-01-18,19:00,6904.8,6848
2023-01-18,20:00,6784.84,6810
2023-01-18,21:00,6629.71,6581
2023-01-18,22:00,6543.09,6537
2023-01-18,23:00,6419.19,6453
2023-01-19,0:00,6090.82,6301
2023-01-19,1:00,5687.11,5859
2023-01-19,2:00,5294.69,5460
2023-01-19,3:00,5045.32,5141
2023-01-19,4:00,4972.61,5104
2023-01-19,5:00,5188.38,5281
2023-01-19,6:00,5756.41,5779
2023-01-19,7:00,6201.06,6258
