DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-18,14:00,6091.61,6054
2023-01-18,15:00,6132.55,6086
2023-01-18,16:00,6633.91,6452
2023-01-18,17:00,6955.72,6863
2023-01-18,18:00,6974.1,6926
2023-01-18,19:00,6904.8,6848
2023-01-18,20:00,6784.84,6810
2023-01-18,21:00,6629.71,6581
2023-01-18,22:00,6543.09,6537
2023-01-18,23:00,6419.19,6453
2023-01-19,0:00,6090.82,6301
2023-01-19,1:00,5687.11,5859
2023-01-19,2:00,5294.69,5460
2023-01-19,3:00,5045.32,5141
2023-01-19,4:00,4972.61,5104
2023-01-19,5:00,5188.38,5281
2023-01-19,6:00,5756.41,5779
2023-01-19,7:00,6201.06,6258
2023-01-19,8:00,6321.55,6428
