DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-17,0:00,6297.66,6234
2023-01-17,1:00,5892.64,5886
2023-01-17,2:00,5475.54,5483
2023-01-17,3:00,5229.33,5188
2023-01-17,4:00,5131.15,5063
2023-01-17,5:00,5307.55,5242
2023-01-17,6:00,5885.29,5813
2023-01-17,7:00,6420.24,6241
2023-01-17,8:00,6602.15,6430
2023-01-17,9:00,6691.66,6582
2023-01-17,10:00,6678.53,6539
2023-01-17,11:00,6656.48,6571
2023-01-17,12:00,6613.96,6565
2023-01-17,13:00,6505.03,6495
2023-01-17,14:00,6409.48,6413
2023-01-17,15:00,6448.59,6411
2023-01-17,16:00,6797.18,6688
2023-01-17,17:00,7099.04,6863
2023-01-17,18:00,7135.79,6926
