DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-17,0:00,6297.66,6234
2023-01-17,1:00,5892.64,5886
2023-01-17,2:00,5475.54,5483
2023-01-17,3:00,5229.33,5188
2023-01-17,4:00,5131.15,5063
2023-01-17,5:00,5307.55,5242
2023-01-17,6:00,5885.29,5813
2023-01-17,7:00,6420.24,6241
2023-01-17,8:00,6602.15,6430
2023-01-17,9:00,6691.66,6582
2023-01-17,10:00,6678.53,6539
2023-01-17,11:00,6656.48,6571
2023-01-17,12:00,6613.96,6565
2023-01-17,13:00,6505.03,6495
2023-01-17,14:00,6409.48,6413
2023-01-17,15:00,6448.59,6411
2023-01-17,16:00,6797.18,6688
2023-01-17,17:00,7099.04,6863
2023-01-17,18:00,7135.79,6926
2023-01-17,19:00,7084.08,6852
2023-01-17,20:00,6987.48,6743
2023-01-17,21:00,6818.97,6577
2023-01-17,22:00,6730.24,6478
2023-01-17,23:00,6578.79,6397
2023-01-18,0:00,6268.79,6254
2023-01-18,1:00,5838.57,5864
2023-01-18,2:00,5477.9,5451
2023-01-18,3:00,5251.9,5161
2023-01-18,4:00,5176.57,5080
2023-01-18,5:00,5371.07,5272
2023-01-18,6:00,5931.22,5846
2023-01-18,7:00,6412.11,6347
2023-01-18,8:00,6539.94,6520
2023-01-18,9:00,6576.95,6522
2023-01-18,10:00,6514.74,6497
2023-01-18,11:00,6411.06,6449
2023-01-18,12:00,6270.36,6321
2023-01-18,13:00,6188.99,6251
