DATE,TIME,FORECAST_VALUE,MEASURED_VALUE
2023-01-20,4:00,4911.19,4961
2023-01-20,5:00,4973.92,4974
2023-01-20,6:00,5234.84,5167
2023-01-20,7:00,5562.69,5528
2023-01-20,8:00,5877.41,5875
2023-01-20,9:00,6097.64,6137
2023-01-20,10:00,6156.7,6212
2023-01-20,11:00,6195.29,6234
2023-01-20,12:00,6178.75,6159
2023-01-20,13:00,6125.99,6010
2023-01-20,14:00,6027.82,5792
2023-01-20,15:00,6095.02,5692
2023-01-20,16:00,6498.2,5892
2023-01-20,17:00,6679.58,6183
2023-01-20,18:00,6648.61,6166
2023-01-20,19:00,6579.31,6048
2023-01-20,20:00,6441.5,5990
2023-01-20,21:00,6273.25,5926
2023-01-20,22:00,6172.72,5970
2023-01-20,23:00,6113.13,6008
2023-01-17,0:00,6297.66,6234
2023-01-17,1:00,5892.64,5886
2023-01-17,2:00,5475.54,5483
2023-01-17,3:00,5229.33,5188
2023-01-17,4:00,5131.15,5063
2023-01-17,5:00,5307.55,5242
2023-01-17,6:00,5885.29,5813
2023-01-17,7:00,6420.24,6241
2023-01-17,8:00,6602.15,6430
2023-01-17,9:00,6691.66,6582
2023-01-17,10:00,6678.53,6539
2023-01-17,11:00,6656.48,6571
2023-01-17,12:00,6613.96,6565
2023-01-17,13:00,6505.03,6495
2023-01-17,14:00,6409.48,6413
2023-01-17,15:00,6448.59,6411
2023-01-17,16:00,6797.18,6688
2023-01-17,17:00,7099.04,6863
